Business Name,Category,Address,Phone,Website,Email,Google Maps URL,Rating,Review Count,Social Media URLs
Crunch Fitness - 38th Street,Gym,"1385 Broadway, New York, NY 10018, United States",+1 212-869-7788,https://www.crunch.com/locations/w-38th-st,,https://www.google.com/maps/place/Crunch+Fitness+-+38th+Street/data=!4m7!3m6!1s0x89c259ab9ec665d1:0xd4684788662a3e93!8m2!3d40.7528941!4d-73.9877224!16s%2Fg%2F1th5dg_j!19sChIJ0WXGnqtZwokRkz4qZohHaNQ,4.1,315,
Mid City Gym & Tanning,Gym,"345 W 42nd St, New York, NY 10036, United States",+1 212-757-0850,https://midcitygym.com/,,https://www.google.com/maps/place/Mid+City+Gym+%26+Tanning/data=!4m7!3m6!1s0x89c258531c5dd221:0xcd29018ec07aa3c3!8m2!3d40.7584037!4d-73.9915542!16s%2Fg%2F1td1wc2k!19sChIJIdJdHFNYwokRw6N6wI4BKc0,4.2,305,
"Iron Bodyfit Midtown-East, NYC",Wellness center,"940 3rd Ave Fl 5, New York, NY 10022, United States",+1 332-777-7608,https://ironbodyfit.us/locations/nycmidtowneeast/,,"https://www.google.com/maps/place/Iron+Bodyfit+Midtown-East,+NYC/data=!4m7!3m6!1s0x89c2598d748cb3cf:0xcb9746cf71f16a29!8m2!3d40.7599859!4d-73.9680621!16s%2Fg%2F11vprhhx4h!19sChIJz7OMdI1ZwokRKWrxcc9Gl8s",4.9,251,
CompleteBody 19th Street,Gym,"22 W 19th St, New York, NY 10011, United States",+1 212-777-7719,https://www.completebody.com/completebody-19th-best-bodybuilding-gym-in-nyc/,,https://www.google.com/maps/place/CompleteBody+19th+Street/data=!4m7!3m6!1s0x89c259a3016cc35b:0xc94f84a21e467424!8m2!3d40.7394932!4d-73.9928627!16s%2Fg%2F1vpq7td_!19sChIJW8NsAaNZwokRJHRGHqKET8k,4.7,248,
Solace New York,Fitness center,"38 E 32nd St, New York, NY 10016, United States",+1 212-301-2766,http://www.solacenewyork.com/,,https://www.google.com/maps/place/Solace+New+York/data=!4m7!3m6!1s0x89c259a81dafd32b:0xa94db623517b9e62!8m2!3d40.7459869!4d-73.9831542!16s%2Fg%2F11b5ytccr4!19sChIJK9OvHahZwokRYp57USO2Tak,4.8,230,
CompleteBody Financial District,Gym,"10 Hanover Square, New York, NY 10005, United States",+1 212-777-7702,https://www.completebody.com/completebody-financial-district/,,https://www.google.com/maps/place/CompleteBody+Financial+District/data=!4m7!3m6!1s0x89c25a17e38ada89:0xd7118d74854d5612!8m2!3d40.7046069!4d-74.0088274!16s%2Fg%2F1tlgywb9!19sChIJidqK4xdawokRElZNhXSNEdc,4.6,220,
The Trinity NYC,Gym,"44-02 11th St, Long Island City, NY 11101, United States",+1 347-468-4184,https://www.thetrinitynyc.com/,,https://www.google.com/maps/place/The+Trinity+NYC/data=!4m7!3m6!1s0x89c259acbfd873d5:0x6a6c59a6599537e8!8m2!3d40.749771!4d-73.949698!16s%2Fg%2F11vr5c9g4z!19sChIJ1XPYv6xZwokR6DeVWaZZbGo,5.0,206,
Mercedes Club,Gym,"550 W 54th St, New York, NY 10019, United States",+1 212-265-1111,http://www.themercedesclub.com/,,https://www.google.com/maps/place/Mercedes+Club/data=!4m7!3m6!1s0x89c2585a5bc492b1:0x92609423ecccc8a1!8m2!3d40.7677253!4d-73.9915642!16s%2Fg%2F11gznhhkz!19sChIJsZLEW1pYwokRocjM7COUYJI,4.5,199,
Gym U NYC,Gym,"215 W 23rd St, New York, NY 10011, United States",+1 646-410-2858,http://gymunyc.com/,,https://www.google.com/maps/place/Gym+U+NYC/data=!4m7!3m6!1s0x89c2598b6145a441:0x693f5ca18d54c80e!8m2!3d40.7445928!4d-73.9961144!16s%2Fg%2F11k434pscs!19sChIJQaRFYYtZwokRDshUjaFcP2k,4.2,198,
F45 Training Midtown East NYC,Gym,"900 3rd Ave, New York, NY 10022, United States",+1 646-476-9619,https://f45training.com/studio/midtowneastnyc/,,https://www.google.com/maps/place/F45+Training+Midtown+East+NYC/data=!4m7!3m6!1s0x89c259e9c3f5f9d9:0x228ca9c307d9db51!8m2!3d40.7588709!4d-73.9691093!16s%2Fg%2F11ny5cqxp4!19sChIJ2fn1w-lZwokRUdvZB8OpjCI,4.8,195,
Trooper Fitness,Gym,"226 E 54th St #200, New York, NY 10022, United States",+1 646-402-1289,http://www.trooperfitness.com/,,https://www.google.com/maps/place/Trooper+Fitness/data=!4m7!3m6!1s0x89c258e386bdcfd9:0xeb3f022caa747233!8m2!3d40.7576456!4d-73.9678779!16s%2Fg%2F11bx98g6d0!19sChIJ2c-9huNYwokRM3J0qiwCP-s,5.0,189,
Life Time,Gym,"29 New St, New York, NY 10005, United States",+1 212-671-7100,https://www.lifetime.life/locations/ny/one-wall-street.html,,https://www.google.com/maps/place/Life+Time/data=!4m7!3m6!1s0x89c25b74d7b665d9:0xa78c705d3b68bc2b!8m2!3d40.7067803!4d-74.0120018!16s%2Fg%2F11s1q536c6!19sChIJ2WW213RbwokRK7xoO11wjKc,4.2,189,
GYM NYC,Gym,"227 Mulberry St, New York, NY 10012, United States",+1 646-678-4723,http://thegym.nyc/,,https://www.google.com/maps/place/GYM+NYC/data=!4m7!3m6!1s0x89c2598f3597444d:0x235a85560800e250!8m2!3d40.7226743!4d-73.9961133!16s%2Fg%2F11c0w84q0s!19sChIJTUSXNY9ZwokRUOIACFaFWiM,4.6,170,
COMPLETE by CompleteBody (Union Square),Gym,"25 W 14th St, New York, NY 10011, United States",+1 212-777-7705,https://www.completebody.com/complete-14th-street/,,https://www.google.com/maps/place/COMPLETE+by+CompleteBody+%28Union+Square%29/data=!4m7!3m6!1s0x89c259b23a5e8627:0x8bedb19d075412bf!8m2!3d40.7367834!4d-73.9948482!16s%2Fg%2F11h193xwwr!19sChIJJ4ZeOrJZwokRvxJUB52x7Ys,4.8,169,
CrossFit Hell's Kitchen NYC,Gym,"361 W 36th St., New York, NY 10018, United States",+1 332-281-9711,http://crossfithellskitchen.com/,,https://www.google.com/maps/place/CrossFit+Hell%27s+Kitchen+NYC/data=!4m7!3m6!1s0x89c258531c5dd221:0xf5eb9282fd298d7a!8m2!3d40.7545853!4d-73.9947272!16s%2Fg%2F1tm0cqk_!19sChIJIdJdHFNYwokReo0p_YKS6_U,4.6,167,
StuyFitness,Gym,"629 E 14th St, New York, NY 10009, United States",+1 212-253-3604,https://www.stuytown.com/amenities/stuyfitness,,https://www.google.com/maps/place/StuyFitness/data=!4m7!3m6!1s0x89c2594dd3cad7af:0x2439636a4281c526!8m2!3d40.7291613!4d-73.976652!16s%2Fg%2F11gmjn9dz6!19sChIJr9fK001ZwokRJsWBQmpjOSQ,4.7,162,
CompleteBody Midtown East,Gym,"301 E 57th St, New York, NY 10022, United States",+1 212-777-7703,https://www.completebody.com/completebody-midtown-east/,,https://www.google.com/maps/place/CompleteBody+Midtown+East/data=!4m7!3m6!1s0x89c258e69d221133:0xac71408e87d0694e!8m2!3d40.7593634!4d-73.9648961!16s%2Fg%2F1td2c7h6!19sChIJMxEineZYwokRTmnQh45Acaw,4.7,161,
The Training Lab,Gym,"54 W 39th St 9th floor Floor 9, New York, NY 10018, United States",+1 212-736-5400,https://traininglabnyc.com/,,https://www.google.com/maps/place/The+Training+Lab/data=!4m7!3m6!1s0x89c259aa23f110b9:0xa94187cd3d213523!8m2!3d40.752396!4d-73.9847706!16s%2Fg%2F11dxdr6jzd!19sChIJuRDxI6pZwokRIzUhPc2HQak,4.9,130,
Grassroots Fitness Project,Gym,"371 Amsterdam Ave, New York, NY 10024, United States",+1 914-537-5753,http://grassrootsfitnessproject.com/,,https://www.google.com/maps/place/Grassroots+Fitness+Project/data=!4m7!3m6!1s0x89c2588f5426de4f:0x4c1d63066874e5ec!8m2!3d40.782082!4d-73.9786182!16s%2Fg%2F1tfv60tq!19sChIJT94mVI9YwokR7OV0aAZjHUw,5.0,126,
The Fort NYC,Personal trainer,"57 W 21st St, New York, NY 10010, United States",+1 917-581-3309,https://thefortnyc.com/,,https://www.google.com/maps/place/The+Fort+NYC/data=!4m7!3m6!1s0x89c259a37100f2d5:0x513ba46ac70fe659!8m2!3d40.7415794!4d-73.9930728!16s%2Fg%2F11c57q9wkk!19sChIJ1fIAcaNZwokRWeYPx2qkO1E,5.0,123,
Hudson Training NYC,Personal trainer,"135 W 26th St Suite 6C, New York, NY 10001, United States",+1 646-460-3951,http://www.hudsontrainingnyc.com/,,https://www.google.com/maps/place/Hudson+Training+NYC/data=!4m7!3m6!1s0x89c259a42630506b:0x8be563e820605a5d!8m2!3d40.7455197!4d-73.9927182!16s%2Fg%2F11mv0kjz4v!19sChIJa1AwJqRZwokRXVpgIOhj5Ys,5.0,107,
Nimble Fitness,Fitness center,"42 E 12th St, New York, NY 10003, United States",+1 212-633-9030,http://www.nimblefitness.com/,,https://www.google.com/maps/place/Nimble+Fitness/data=!4m7!3m6!1s0x89c25999a707c22f:0xaa8d187571541a7!8m2!3d40.7334496!4d-73.9918977!16s%2Fg%2F1td7z_r0!19sChIJL8IHp5lZwokRp0EVV4fRqAo,4.9,97,
The Fitness Office,Gym,"219 E 81st St, New York, NY 10028, United States",+1 914-863-5614,http://www.thefitnessoffice.com/,,https://www.google.com/maps/place/The+Fitness+Office/data=!4m7!3m6!1s0x89c258be990023c3:0xe58d38e224da3758!8m2!3d40.7753709!4d-73.9553042!16s%2Fg%2F1pp2wx7k5!19sChIJwyMAmb5YwokRWDfaJOI4jeU,4.9,93,
GYM NYC East 3rd St.,Gym,"155 E 3rd St, New York, NY 10009, United States",+1 646-678-5005,http://e3gym.nyc/,,https://www.google.com/maps/place/GYM+NYC+East+3rd+St./data=!4m7!3m6!1s0x89c2597f7c3f75e1:0xbb8ce550f8c66e48!8m2!3d40.7235652!4d-73.98483!16s%2Fg%2F11sz8c2kgl!19sChIJ4XU_fH9ZwokRSG7G-FDljLs,4.7,92,
Strength Society NYC,Gym,"237 W 105th St, New York, NY 10025, United States",+1 917-810-7132,https://strengthsocietynyc.com/,,https://www.google.com/maps/place/Strength+Society+NYC/data=!4m7!3m6!1s0x89c2f7c88b1432ab:0x8d74ac231ce9e50b!8m2!3d40.800466!4d-73.9675035!16s%2Fg%2F11wvh_s868!19sChIJqzIUi8j3wokRC-XpHCOsdI0,4.9,87,
Ultimate Gym NYC,Martial arts school,"5 W 30th St 4th floor, New York, NY 10001, United States",+1 212-725-4666,https://ultimategymny.com/,,https://www.google.com/maps/place/Ultimate+Gym+NYC/data=!4m7!3m6!1s0x89c259a8909e45f9:0x4cabcf9bc3d33a6!8m2!3d40.7463235!4d-73.9869972!16s%2Fg%2F1tdnm0w8!19sChIJ-UWekKhZwokRpjM9vPm8ygQ,4.9,86,
York Club Fitness,Fitness center,"1433 York Ave, New York, NY 10075, United States",+1 917-715-8467,http://york.club/join,,https://www.google.com/maps/place/York+Club+Fitness/data=!4m7!3m6!1s0x89c25947ff4e8a03:0x6d7e39997a0bf600!8m2!3d40.7696872!4d-73.9519402!16s%2Fg%2F11yh5js1xl!19sChIJA4pO_0dZwokRAPYLepk5fm0,4.3,76,
InForm Fitness,Personal trainer,"201 E 56th St, New York, NY 10022, United States",+1 212-755-9895,https://informfitness.com/personal-training-studio-locations/personal-training-studio-in-manhattan-new-york/,,https://www.google.com/maps/place/InForm+Fitness/data=!4m7!3m6!1s0x89c258e45970db8d:0x6f3b6fd83aba8992!8m2!3d40.759499!4d-73.967298!16s%2Fg%2F1tqnmk38!19sChIJjdtwWeRYwokRkom6OthvO28,5.0,72,
Workshoppe Fitness,Gym,"1120 3rd Ave, New York, NY 10065, United States",+1 646-222-3482,https://workshoppefitness.com/,,https://www.google.com/maps/place/Workshoppe+Fitness/data=!4m7!3m6!1s0x89c2590070ab3bcf:0x257c657bd75dd0af!8m2!3d40.7657652!4d-73.9638371!16s%2Fg%2F11xt6wlv1j!19sChIJzzurcABZwokRr9Bd13tlfCU,5.0,68,
Willspace,Gym,"150A Barrow St, New York, NY 10014, United States",+1 212-929-1800,https://willspace.com/,,https://www.google.com/maps/place/Willspace/data=!4m7!3m6!1s0x89c25994aa831f6d:0x9a3df2fbb7495840!8m2!3d40.7320934!4d-74.0099383!16s%2Fg%2F1tdygk07!19sChIJbR-DqpRZwokRQFhJt_vyPZo,4.9,67,
X 93 Fitness,Gym,"673 Amsterdam Ave, New York, NY 10025, United States",+1 212-280-0689,http://www.x93fitness.com/,,https://www.google.com/maps/place/X+93+Fitness/data=!4m7!3m6!1s0x89c25882b65a4b79:0x33855792695ec6fb!8m2!3d40.7918532!4d-73.9717192!16s%2Fg%2F1ydxc8gft!19sChIJeUtatoJYwokR-8ZeaZJXhTM,5.0,66,
Body Space Fitness Union Square,Fitness center,"47 W 14th St Fl 5, New York, NY 10011, United States",+1 646-684-4912,http://bodyspacefitness.com/,,https://www.google.com/maps/place/Body+Space+Fitness+Union+Square/data=!4m7!3m6!1s0x89c259bd5892882d:0x46c548e687906168!8m2!3d40.73709!4d-73.995779!16s%2Fg%2F11bbrl3s4v!19sChIJLYiSWL1ZwokRaGGQh-ZIxUY,4.8,65,
Liberated Fitness,Gym,"1005 Columbus Ave, New York, NY 10025, United States",+1 857-891-6133,http://www.liberatedfitness.com/,,https://www.google.com/maps/place/Liberated+Fitness/data=!4m7!3m6!1s0x89c2f6226160016b:0x4c5c4a3d549ac4d3!8m2!3d40.8013598!4d-73.9610265!16s%2Fg%2F1tfsttgm!19sChIJawFgYSL2wokR08SaVD1KXEw,4.9,63,
Hype Gym Union Square,Gym,"37 Union Square W f2, New York, NY 10003, United States",+1 646-942-6754,http://www.hypegym.com/,,https://www.google.com/maps/place/Hype+Gym+Union+Square/data=!4m7!3m6!1s0x89c259a271c02d2f:0xa90c410a3410527e!8m2!3d40.7370125!4d-73.9906051!16s%2Fg%2F11fzbl8zsz!19sChIJLy3AcaJZwokRflIQNApBDKk,4.6,55,
Bossnycfit.com,Personal trainer,"221 W 37th St, New York, NY 10018, United States",+1 718-506-8153,https://www.bossnycfit.com/,,https://www.google.com/maps/place/Bossnycfit.com/data=!4m7!3m6!1s0x89c259ac604c54a3:0xe866e67da5bcef5f!8m2!3d40.7535508!4d-73.9901882!16s%2Fg%2F11bx2ldhc9!19sChIJo1RMYKxZwokRX--8pX3mZug,4.8,48,
GYM NYC BK,Gym,"85 Livingston St, Brooklyn, NY 11201, United States",+1 646-688-0366,https://gym-nyc.com/,,https://www.google.com/maps/place/GYM+NYC+BK/data=!4m7!3m6!1s0x89c25b04e770ad7d:0xf7c24c91762f465d!8m2!3d40.6915696!4d-73.9905785!16s%2Fg%2F11wp780pg3!19sChIJfa1w5wRbwokRXUYvdpFMwvc,4.7,47,
The Fit Faction,Fitness center,"127 W 26th St Store 2, New York, NY 10001, United States",+1 201-824-2490,https://www.thefitfaction.com/,,https://www.google.com/maps/place/The+Fit+Faction/data=!4m7!3m6!1s0x89c2595dbc7f292b:0x3bea7ffd53532cee!8m2!3d40.7455052!4d-73.9925205!16s%2Fg%2F11k4m7bwgy!19sChIJKyl_vF1ZwokR7ixTU_1_6js,4.9,42,
Hanson Fitness - SOHO,Personal trainer,"42 Wooster St, New York, NY 10012, United States",+1 917-680-3097,https://hansonfitness.com/hanson-fitness-soho-personal-training-studio/,,https://www.google.com/maps/place/Hanson+Fitness+-+SOHO/data=!4m7!3m6!1s0x89c2598c07eca171:0x91a9576c3575cdf1!8m2!3d40.722303!4d-74.002423!16s%2Fg%2F1tdh9c33!19sChIJcaHsB4xZwokR8c11NWxXqZE,4.8,40,
Essential Fitness NYC,Personal trainer,"939 8th Ave #404, New York, NY 10019, United States",+1 646-535-6320,http://www.essentialfitnessnyc.com/,,https://www.google.com/maps/place/Essential+Fitness+NYC/data=!4m7!3m6!1s0x89c2585811ae1237:0x5cdd6a417659aae7!8m2!3d40.7658951!4d-73.9838799!16s%2Fg%2F1q63ckcb4!19sChIJNxKuEVhYwokR56pZdkFq3Vw,5.0,34,
GYM NYC Lexington,Gym,"131 E 31st St, New York, NY 10016, United States",+1 646-308-0192,https://gym-nyc.com/,,https://www.google.com/maps/place/GYM+NYC+Lexington/data=!4m7!3m6!1s0x89c259da20a8b2b1:0x3ebee4c8b0c4941f!8m2!3d40.7447337!4d-73.9813383!16s%2Fg%2F11xtk67zvd!19sChIJsbKoINpZwokRH5TEsMjkvj4,4.9,33,
