Business Name,Category,Address,Phone,Website,Email,Google Maps URL,Rating,Review Count,Social Media URLs,audit_status,error,health_score,max_health_score,opportunity_score,max_opportunity_score,ssl_valid,has_chatbot,chatbot_providers,has_whatsapp,has_lead_form,has_phone_cta,has_appointment_booking,has_trust_signals,has_local_schema,critical_issue_count,high_issue_count,top_issues,fetch_warning
World Gym Moore Park,Gym,"The Entertainment Quarter, 2205a/122 Lang Rd, Moore Park NSW 2021, Australia",+61 2 8360 4681,https://www.worldgym.com.au/gyms/moore-park,,https://www.google.com/maps/place/World+Gym+Moore+Park/data=!4m7!3m6!1s0x6b12b149a5e465c1:0x57f0d36b645119c9!8m2!3d-33.8941357!4d151.2256124!16s%2Fg%2F11sk0y3bv0!19sChIJwWXkpUmxEmsRyRlRZGvT8Fc,4.4,305,,OK,,25.2,65,22.5,100,True,False,,False,False,True,False,True,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Hardcore Gym,Gym,"290 Railway Parade, Carlton NSW 2218, Australia",+61 2 9567 0900,http://www.hardcoregym.com.au/,,https://www.google.com/maps/place/Hardcore+Gym/data=!4m7!3m6!1s0x6b12b0ab56f2db9d:0xd5b0866a57e0b92a!8m2!3d-33.9685668!4d151.1253509!16s%2Fg%2F1tf7gt_c!19sChIJndvyVquwEmsRKrngV2qGsNU,4.9,292,,OK,,46.0,65,25.0,100,True,False,,False,True,False,False,False,True,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,
Anytime Fitness Circular Quay,Gym,"1/22 Pitt St, Sydney NSW 2000, Australia",+61 484 926 351,https://www.anytimefitness.com/en-au/membership-inquiry,,https://www.google.com/maps/place/Anytime+Fitness+Circular+Quay/data=!4m7!3m6!1s0x6b12ae426c7decbd:0x21426b1c76495777!8m2!3d-33.8620844!4d151.2093516!16s%2Fg%2F11b66hmx1d!19sChIJvex9bEKuEmsRd1dJdhxrQiE,4.4,284,,OK,,13.6,65,0.0,100,True,False,,False,False,False,False,False,False,2,4,CRITICAL: No mobile viewport meta tag.; CRITICAL: Page is set to noindex.; HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.,
Lockeroom Gym Personal Trainers Bridge Street,Personal trainer,"38-42 Bridge St, Sydney NSW 2000, Australia",+61 482 074 373,https://lockeroomgym.com/,,https://www.google.com/maps/place/Lockeroom+Gym+Personal+Trainers+Bridge+Street/data=!4m7!3m6!1s0x6b12af64a6f1c477:0x1fe9cf357ff6be67!8m2!3d-33.8633763!4d151.2106531!16s%2Fg%2F11lm3k1cxv!19sChIJd8TxpmSvEmsRZ772fzXP6R8,5.0,256,,OK,,35.6,65,10.0,100,True,False,,False,False,False,False,True,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Fitness First Bond St Platinum,Gym,"l1/20 Bond St, Sydney NSW 2000, Australia",+61 2 8215 0200,https://www.fitnessfirst.com.au/clubs/bond-st-platinum/,,https://www.google.com/maps/place/Fitness+First+Bond+St+Platinum/data=!4m7!3m6!1s0x6b12ae3f89a31059:0x9bd9d5799c0228f5!8m2!3d-33.8642414!4d151.2084874!16s%2Fg%2F1tdx8vww!19sChIJWRCjiT-uEmsR9SgCnHnV2Zs,4.1,256,,OK,,39.5,65,12.5,100,True,False,,False,False,True,False,False,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
168 Sydney City,Gym,"259 Sussex St, Sydney NSW 2000, Australia",+61 404 411 581,http://crossfit168.com.au/,,https://www.google.com/maps/place/168+Sydney+City/data=!4m7!3m6!1s0x1b48b657d01f833:0x37a9c9f40ce123e7!8m2!3d-33.8732886!4d151.2038967!16s%2Fg%2F11b6rx_6z1!19sChIJM_gBfWWLtAER5yPhDPTJqTc,4.9,223,,OK,,47.6,65,20.0,100,True,False,,False,True,False,False,False,True,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,
Lockeroom Gym Personal Trainers Bligh Street,Personal trainer,"Level 4/6 Bligh St, Sydney NSW 2000, Australia",+61 482 074 373,https://lockeroomgym.com/,,https://www.google.com/maps/place/Lockeroom+Gym+Personal+Trainers+Bligh+Street/data=!4m7!3m6!1s0x6b12aff029152675:0x60e4273e02946eb3!8m2!3d-33.865653!4d151.2104365!16s%2Fg%2F11trx85pvr!19sChIJdSYVKfCvEmsRs26UAj4n5GA,5.0,218,,OK,,35.6,65,10.0,100,True,False,,False,False,False,False,True,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Hiscoes Gym,Fitness center,"525 Crown St, Surry Hills NSW 2010, Australia",+61 2 9699 9222,http://www.hiscoes.com.au/,,https://www.google.com/maps/place/Hiscoes+Gym/data=!4m7!3m6!1s0x6b12ae1fd2f4c6c9:0xb966222e4c2d58b7!8m2!3d-33.8894197!4d151.2130374!16s%2Fg%2F1tfb6qgm!19sChIJycb00h-uEmsRt1gtTC4iZrk,4.7,215,,OK,,44.6,65,55.0,100,True,True,Facebook Messenger Plugin,False,True,True,False,False,True,0,1,HIGH: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.; MEDIUM: No visible trust signals (testimonials/reviews) detected.,
Plus Fitness 24/7,Fitness center,"25 Market St, Sydney NSW 2000, Australia",+61 2 9264 0777,https://www.plusfitness.com.au/gyms/market-st--sydney-cbd/,,https://www.google.com/maps/place/Plus+Fitness+24%2F7/data=!4m7!3m6!1s0x6b12ae3f00023d89:0xa41fe7dc7eb7da7d!8m2!3d-33.8710212!4d151.2049713!16s%2Fg%2F11b6dwfrc9!19sChIJiT0CAD-uEmsRfdq3ftznH6Q,4.1,195,,OK,,51.1,65,20.0,100,True,False,,False,False,True,False,False,True,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Movement District,Fitness center,"Unit 1/114-118 New South Head Rd, Edgecliff NSW 2027, Australia",+61 400 087 154,http://www.movement-district.com/,,https://www.google.com/maps/place/Movement+District/data=!4m7!3m6!1s0x6b12adefe7d297d5:0xfbea4b6c1c334ad6!8m2!3d-33.8779479!4d151.2346807!16s%2Fg%2F11mv4y9yt1!19sChIJ1ZfS5--tEmsR1kozHGxL6vs,5.0,172,,OK,,22.9,65,37.5,100,True,False,,False,True,True,False,True,False,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Page is missing a meta description.,
Be Athletic City,Gym,"Basement Level, 28 Margaret St, Sydney NSW 2000, Australia",+61 414 458 744,https://beathleticfitness.com.au/locations-sydney-CBD,,https://www.google.com/maps/place/Be+Athletic+City/data=!4m7!3m6!1s0x6b12ae4128c8e3f1:0x1e997ce62c4ff898!8m2!3d-33.864912!4d151.205053!16s%2Fg%2F1pty80vc7!19sChIJ8ePIKEGuEmsRmPhPLOZ8mR4,5.0,157,,OK,,25.8,65,12.5,100,True,False,,False,False,True,False,False,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
UN1T GYM Alexandria,Gym,"Unit 39-40/112 McEvoy St, Alexandria NSW 2015, Australia",+61 422 615 121,https://un1t.com/au/sydney/,,https://www.google.com/maps/place/UN1T+GYM+Alexandria/data=!4m7!3m6!1s0x6b12b12184947963:0xcc9d9c58cd5e03e!8m2!3d-33.9031263!4d151.1963114!16s%2Fg%2F11rwmm_916!19sChIJY3mUhCGxEmsRPuDVjMXZyQw,5.0,157,,OK,,32.7,65,57.5,100,True,True,Facebook Messenger Plugin,False,True,False,False,True,False,0,1,HIGH: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.; MEDIUM: Many images are missing alt text.,
Newtown Gym,Fitness center,"level 1/294 King St, Newtown NSW 2042, Australia",+61 2 9519 6969,http://www.thenewtowngym.com/,,https://www.google.com/maps/place/Newtown+Gym/data=!4m7!3m6!1s0x6b12b031491a34cf:0xf5e51b28071c88f6!8m2!3d-33.8967004!4d151.1798987!16s%2Fg%2F1tr7jjsp!19sChIJzzQaSTGwEmsR9ogcBygb5fU,4.5,146,,OK,,41.1,65,5.0,100,True,False,,False,False,False,False,False,True,0,2,HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Balmain Fitness,Fitness center,"level 1/597 Darling St, Rozelle NSW 2039, Australia",+61 2 9818 3555,http://www.balmainfitness.com.au/,,https://www.google.com/maps/place/Balmain+Fitness/data=!4m7!3m6!1s0x6b12afc8d15c372b:0xb6e1eede63d5bdb5!8m2!3d-33.8605662!4d151.1715679!16s%2Fg%2F1tg8jwy5!19sChIJKzdc0civEmsRtb3VY97u4bY,4.6,134,,OK,,43.1,65,30.0,100,True,False,,False,True,False,False,True,True,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,
Steed Fitness Chippendale,Gym,"Ste 1/36-42 Chippen St, Chippendale NSW 2008, Australia",+61 426 775 706,http://www.steedfitness.com.au/,,https://www.google.com/maps/place/Steed+Fitness+Chippendale/data=!4m7!3m6!1s0x6b12b1b21393b9d1:0x64616f856a8dba6!8m2!3d-33.8882015!4d151.2006682!16s%2Fg%2F11j4nsq1lg!19sChIJ0bmTE7KxEmsRptuoVvgWRgY,4.9,126,,OK,,43.1,65,45.0,100,True,False,,False,True,True,True,False,True,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: Many images are missing alt text.; MEDIUM: No visible trust signals (testimonials/reviews) detected.,
BBB Gym Waterloo,Gym,"Unit 3/198-222 Young St, Waterloo NSW 2017, Australia",+61 480 017 190,https://bbbgym.com/waterloo_gym/,,https://www.google.com/maps/place/BBB+Gym+Waterloo/data=!4m7!3m6!1s0x6b12b1c2ceda118b:0x4ccc58dd491e384a!8m2!3d-33.8994682!4d151.2085766!16s%2Fg%2F1td2mn5x!19sChIJixHazsKxEmsRSjgeSd1YzEw,5.0,118,,OK,,45.5,65,55.0,100,True,True,Facebook Messenger Plugin,False,True,False,False,True,True,0,1,HIGH: Missing recommended security headers.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,
Snap Fitness 24/7 Sydney City,Gym,"35 Clarence St, Sydney NSW 2000, Australia",+61 451 433 436,https://www.snapfitness.com/au/gyms/sydney-city,,https://www.google.com/maps/place/Snap+Fitness+24%2F7+Sydney+City/data=!4m7!3m6!1s0x6b12ae4132efffff:0x9b6fd71ea6774415!8m2!3d-33.8642648!4d151.2045525!16s%2Fg%2F11gh2w61t7!19sChIJ___vMkGuEmsRFUR3ph7Xb5s,4.0,117,,OK,,37.3,65,15.0,100,True,False,,False,False,True,False,False,False,0,2,HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Sydney Strength Training,Gym,"Unit B2/1 Cahill St, Annandale NSW 2038, Australia",+61 435 347 435,http://www.sydneystrengthtraining.com.au/,,https://www.google.com/maps/place/Sydney+Strength+Training/data=!4m7!3m6!1s0x6b12b025e4d22807:0x53c2a4ff5d4a4cfc!8m2!3d-33.8871726!4d151.1725769!16s%2Fg%2F11b5wlc5c3!19sChIJByjS5CWwEmsR_ExKXf-kwlM,5.0,110,,OK,,33.9,65,45.0,100,True,True,Facebook Messenger Plugin,False,True,False,False,False,True,0,1,HIGH: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.; MEDIUM: Many images are missing alt text.,
NYF GYM,Gym,"290 Victoria St, Darlinghurst NSW 2010, Australia",+61 450 020 122,http://nyfgym.com.au/,,https://www.google.com/maps/place/NYF+GYM/data=!4m7!3m6!1s0x6b12ae071c630ab1:0xdfe48cd9efb4d4e4!8m2!3d-33.876246!4d151.2221526!16s%2Fg%2F11f3n1b0_v!19sChIJsQpjHAeuEmsR5NS079mM5N8,4.8,103,,OK,,30.6,65,50.0,100,True,True,Tawk.to,False,True,False,False,True,False,0,1,HIGH: Missing recommended security headers.; MEDIUM: No XML sitemap found.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,
Fitillion: Personalised Group Fitness,Gym,"L2 Se 2/49-51 York St, Sydney NSW 2000, Australia",+61 2 7257 3337,https://fitillion.com/,,https://www.google.com/maps/place/Fitillion:+Personalised+Group+Fitness/data=!4m7!3m6!1s0x6b12ab73b7647075:0x8299468d0e2e198f!8m2!3d-33.8670322!4d151.2056228!16s%2Fg%2F11k3prj4kg!19sChIJdXBkt3OrEmsRjxkuDo1GmYI,5.0,95,,OK,,47.3,65,12.5,100,True,False,,False,False,False,False,True,True,0,2,HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Prime Strength,Gym,"1/228 Elizabeth St, Surry Hills NSW 2010, Australia",+61 428 877 307,http://www.primestrength.com.au/,,https://www.google.com/maps/place/Prime+Strength/data=!4m7!3m6!1s0x6b12af875906cb5d:0x27e2abaebf47cd72!8m2!3d-33.8805751!4d151.2090931!16s%2Fg%2F11n364ctjw!19sChIJXcsGWYevEmsRcs1Hv66r4ic,4.7,85,,OK,,43.1,65,37.5,100,True,True,Facebook Messenger Plugin,False,False,True,False,False,True,0,2,HIGH: Missing recommended security headers.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.,
The Gym,Gym,"131 Alexander St, Crows Nest NSW 2065, Australia",+61 480 021 448,http://www.thegymstleonards.com.au/,,https://www.google.com/maps/place/The+Gym/data=!4m7!3m6!1s0x6b12aedc5a2b930d:0x997907a59f157f13!8m2!3d-33.8243372!4d151.2029362!16s%2Fg%2F11c5xmk_hb!19sChIJDZMrWtyuEmsRE38Vn6UHeZk,5.0,71,,OK,,44.3,65,17.5,100,True,False,,False,False,False,False,True,True,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
The Yard Gym Darlinghurst,Fitness center,"278 Palmer St, Darlinghurst NSW 2010, Australia",+61 466 939 953,https://theyardgym.com/locations/darlinghurst,,https://www.google.com/maps/place/The+Yard+Gym+Darlinghurst/data=!4m7!3m6!1s0x6b12af7eb5e5b44d:0x37b88de96ac9db55!8m2!3d-33.8788437!4d151.2165059!16s%2Fg%2F11ty1ts5l9!19sChIJTbTltX6vEmsRVdvJaumNuDc,4.7,69,,OK,,43.9,65,47.5,100,True,True,Facebook Messenger Plugin,False,False,True,False,True,False,0,1,HIGH: No lead-capture form detected.; MEDIUM: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No LocalBusiness (or similar) structured data found.,
Bondi Gym,Gym,"32 Ebley St, Bondi Junction NSW 2022, Australia",+61 2 9387 4446,http://www.bondigym.com.au/,,https://www.google.com/maps/place/Bondi+Gym/data=!4m7!3m6!1s0x6b12adf0b0b05cd5:0xde8aed6b0d030d56!8m2!3d-33.8929549!4d151.2463566!16s%2Fg%2F1th573_4!19sChIJ1VywsPCtEmsRVg0DDWvtit4,4.5,58,,OK,,44.3,65,35.0,100,True,False,,False,True,True,False,False,True,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.,
CONDITN. Training Martin Place,Gym,"17 Castlereagh St, Sydney NSW 2000, Australia",+61 452 454 592,https://conditn.com/martinplace,,https://www.google.com/maps/place/CONDITN.+Training+Martin+Place/data=!4m7!3m6!1s0x6b12af3bc1a5fa7b:0x8d3aff797b82d9e5!8m2!3d-33.8670237!4d151.2097433!16s%2Fg%2F11ldcwnd2f!19sChIJe_qlwTuvEmsR5dmCe3n_Oo0,5.0,55,,OK,,46.7,65,30.0,100,True,True,Facebook Messenger Plugin,False,False,False,False,False,True,0,2,HIGH: Missing recommended security headers.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,
Sydney Uni Sport & Fitness,Gym,"Western Ave, Camperdown NSW 2050, Australia",+61 2 9351 8105,,,https://www.google.com/maps/place/Sydney+Uni+Sport+%26+Fitness/data=!4m7!3m6!1s0x6b12b02b45883365:0xbf76ef94ca76fd!8m2!3d-33.8876554!4d151.1862534!16s%2Fg%2F1hc2f7_z3!19sChIJZTOIRSuwEmsR_XbKlO92vwA,4.7,45,,SKIPPED_NO_WEBSITE,,,,,,,,,,,,,,,,,,
Edge Fit Surry Hills,Gym,"418a Elizabeth St, Surry Hills NSW 2010, Australia",+61 483 956 607,https://edgefit.com/gym-location/surry-hills/,,https://www.google.com/maps/place/Edge+Fit+Surry+Hills/data=!4m7!3m6!1s0x6b12af6909f21fcd:0x562495cc9865d0e3!8m2!3d-33.8864296!4d151.2088055!16s%2Fg%2F11kb50m6v1!19sChIJzR_yCWmvEmsR49BlmMyVJFY,4.7,43,,OK,,45.5,65,40.0,100,True,True,Facebook Messenger Plugin,False,False,True,False,False,True,0,3,HIGH: Missing recommended security headers.; HIGH: HTTP does not redirect to HTTPS.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,"page HTML contains a known anti-bot/CAPTCHA marker: ""challenges.cloudflare.com"". A headless-browser retry did not get past it either — this site likely requires solving a human-facing CAPTCHA/verification step, which this tool does not attempt to bypass. Verify this lead manually in a real browser."
