Business Name,Category,Address,Phone,Website,Email,Google Maps URL,Rating,Review Count,Social Media URLs,audit_status,error,health_score,max_health_score,opportunity_score,max_opportunity_score,ssl_valid,has_chatbot,chatbot_providers,has_whatsapp,has_lead_form,has_phone_cta,has_appointment_booking,has_trust_signals,has_local_schema,critical_issue_count,high_issue_count,top_issues,fetch_warning,review_type
Evolve MMA (Raffles Place),Martial arts school,"18 Cross St, B1-08 Evolve MMA (Raffles Place), Singapore 048423",+65 6250 7751,https://evolve-mma.com/locations/evolve-cbd/,,https://www.google.com/maps/place/Evolve+MMA+%28Raffles+Place%29/data=!4m7!3m6!1s0x31da190cf435018f:0xe09578ad36db1a4d!8m2!3d1.2832596!4d103.8472379!16s%2Fg%2F1tdq3jc0!19sChIJjwE19AwZ2jERTRrbNq14leA,4.7,319,,OK,,39.4,65,72.5,100,True,True,Facebook Messenger Plugin,True,True,True,False,False,False,0,1,HIGH: Missing recommended security headers.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No appointment/booking system detected.; MEDIUM: No LocalBusiness (or similar) structured data found.; MEDIUM: No visible trust signals (testimonials/reviews) detected.,,Automatic
MT30 @ Dhoby Ghaut Gym,Gym,"1 Selegie Rd, #02-11 MT30 @ Dhoby Ghaut Gym, Singapore 188306",+65 8814 6710,https://mt30.com.sg/,,https://www.google.com/maps/place/MT30+@+Dhoby+Ghaut+Gym/data=!4m7!3m6!1s0x31da1966416ec19b:0xa3950fbdec5b32f9!8m2!3d1.3005405!4d103.8492521!16s%2Fg%2F11t4cb_mn7!19sChIJm8FuQWYZ2jER-TJb7L0PlaM,5.0,302,,OK,,36.6,65,27.5,100,True,False,,False,True,True,False,False,False,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Page is missing a meta description.,,Automatic
FaMA - Fitness and Martial Arts Brazilian Jiu-Jitsu (BJJ) Classes,Martial arts school,"427 River Valley Rd, FaMA - Fitness and Martial Arts Brazilian Jiu-Jitsu (BJJ) Classes, Singapore 248326",+65 9862 0501,https://famafit.com/,,https://www.google.com/maps/place/FaMA+-+Fitness+and+Martial+Arts+Brazilian+Jiu-Jitsu+%28BJJ%29+Classes/data=!4m7!3m6!1s0x31da199ff5ff55a3:0x89346d5a66ead8bc!8m2!3d1.2951327!4d103.8293647!16s%2Fg%2F11b_2n6vr4!19sChIJo1X_9Z8Z2jERvNjqZlptNIk,4.9,282,,OK,,46.1,65,32.5,100,True,False,,True,False,False,False,True,True,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No appointment/booking system detected.,,Automatic
The Six Arena,Boxing Coaching Center,"48 Woodleigh Prk, The Six Arena, Singapore 357844",+65 8321 2302,https://thesix.sg/,,https://www.google.com/maps/place/The+Six+Arena/data=!4m7!3m6!1s0x31da17db8d1926fd:0x382441e81349b67!8m2!3d1.3425887!4d103.8677296!16s%2Fg%2F11w9h8ctn_!19sChIJ_SYZjdsX2jERZ5s0gR5EggM,5.0,269,,OK,,47.3,65,30.0,100,True,False,,True,False,True,False,False,True,0,2,HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Missing recommended security headers.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.,,Automatic
Fight Zone Velocity,Gym,"238 Thomson Rd, #03-57 Fight Zone Velocity, Velocity@Novena Square, Singapore 307683",+65 9625 2125,http://www.fightzonesg.com/,,https://www.google.com/maps/place/Fight+Zone+Velocity/data=!4m7!3m6!1s0x31da19ad857be5e3:0x535ce1e499ff6b11!8m2!3d1.3196445!4d103.8438668!16s%2Fg%2F11h40y60f6!19sChIJ4-V7ha0Z2jEREWv_meThXFM,5.0,263,,OK,,38.8,65,40.0,100,True,True,Facebook Messenger Plugin,False,True,False,False,False,False,0,1,HIGH: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.; MEDIUM: Many images are missing alt text.,,Automatic
Pineapple Muay Thai & MMA,Muay Thai boxing gym,"139 Cecil St, #14-01 Pineapple Muay Thai & MMA, YSY Building, Singapore 069539",+65 8850 6387,http://www.pineapplemma.com/,,https://www.google.com/maps/place/Pineapple+Muay+Thai+%26+MMA/data=!4m7!3m6!1s0x31da19ead2078c43:0x2441e8657a7a48e4!8m2!3d1.2795422!4d103.8484516!16s%2Fg%2F11s7ktx926!19sChIJQ4wH0uoZ2jER5Eh6emXoQSQ,5.0,260,,OK,,46.0,65,47.5,100,True,False,,True,False,False,True,True,True,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No clickable phone (tel:) link detected.; MEDIUM: Many images are missing alt text.,,Automatic
Yod Muay Fitness,Muay Thai boxing gym,"526a Geylang Rd, Yod Muay Fitness, Atrium Residence, Singapore 389482",+65 8836 9384,http://www.ymfitness.com/,,https://www.google.com/maps/place/Yod+Muay+Fitness/data=!4m7!3m6!1s0x31da19e274bc5e93:0x2fe0d4da5d1053af!8m2!3d1.313759!4d103.8859877!16s%2Fg%2F11rhqjz2fk!19sChIJk168dOIZ2jERr1MQXdrU4C8,5.0,247,,OK,,47.6,65,47.5,100,True,False,,True,True,False,False,True,True,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.; MEDIUM: Many images are missing alt text.,,Automatic
Nine Blades Muay Thai,Muay Thai boxing gym,"14 Robinson Rd, #13-00 Nine Blades Muay Thai, Far East Finance Building, Singapore 048545",+65 8884 0135,https://www.ninebladesmuaythai.com/,,https://www.google.com/maps/place/Nine+Blades+Muay+Thai/data=!4m7!3m6!1s0x31da19a44a5180e5:0x1071590fd9a5288f!8m2!3d1.2820124!4d103.8507909!16s%2Fg%2F11ts3df24d!19sChIJ5YBRSqQZ2jERjyil2Q9ZcRA,5.0,211,,OK,,21.9,65,0.0,100,True,False,,False,False,False,False,False,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No XML sitemap found.; MEDIUM: No WhatsApp click-to-chat link detected.,,Automatic
Van Lee Fitness,Gym,"Pagoda St, Van Lee Fitness, 60B, Singapore 059219",+65 9227 5426,http://www.vanleefitness.com.sg/,,https://www.google.com/maps/place/Van+Lee+Fitness/data=!4m7!3m6!1s0x31da196d7c6832c3:0x4c77aea9d5b64b9c!8m2!3d1.2834213!4d103.844263!16s%2Fg%2F11c15k1cx5!19sChIJwzJofG0Z2jERnEu21amud0w,4.9,209,,OK,,25.6,65,27.5,100,True,False,,True,False,False,False,True,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,,Automatic
King of Strength Fitness Gym - 24/7,Gym,"3 Yuan Ching Rd, #02-02 King of Strength Fitness Gym - 24/7, Singapore 618642",+65 8793 0890,https://kosboxingym.sg/,,https://www.google.com/maps/place/King+of+Strength+Fitness+Gym+-+24%2F7/data=!4m7!3m6!1s0x31da0529be3c5c49:0x1a8f2471e5ba3eec!8m2!3d1.3254672!4d103.7250726!16s%2Fg%2F11wv8vv5bh!19sChIJSVw8vikF2jER7D665XEkjxo,5.0,202,,OK,,46.1,65,42.5,100,True,True,Facebook Messenger Plugin,True,False,False,False,False,True,0,2,HIGH: Missing recommended security headers.; HIGH: No lead-capture form detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.; MEDIUM: Many images are missing alt text.,,Automatic
Evolve MMA (Star Vista),Martial arts school,"1 Vista Exchange Grn, #02-26A Evolve MMA (Star Vista), The Star Vista, Singapore 138617",+65 6539 9590,https://evolve-mma.com/locations/evolve-mma-star-vista/,,https://www.google.com/maps/place/Evolve+MMA+%28Star+Vista%29/data=!4m7!3m6!1s0x31da1b477d15122d:0x23cf9e0f138c0a5b!8m2!3d1.306842!4d103.78844!16s%2Fg%2F11s57fpp1c!19sChIJLRIVfUcb2jERWwqMEw-ezyM,4.9,201,,OK,,37.7,65,72.5,100,True,True,Facebook Messenger Plugin,True,True,True,False,False,False,0,1,HIGH: Missing recommended security headers.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No appointment/booking system detected.; MEDIUM: No LocalBusiness (or similar) structured data found.; MEDIUM: No visible trust signals (testimonials/reviews) detected.,,Automatic
Fight Zone AMK Hub,Gym,"53 Ang Mo Kio Ave 3, #03-14 Fight Zone AMK Hub, Singapore 569933",+65 8123 8337,http://www.fightzonesg.com/,,https://www.google.com/maps/place/Fight+Zone+AMK+Hub/data=!4m7!3m6!1s0x31da1708de730d79:0x76c014f82442626c!8m2!3d1.3696302!4d103.8482042!16s%2Fg%2F11fklb8gxl!19sChIJeQ1z3ggX2jERbGJCJPgUwHY,4.9,196,,OK,,38.8,65,40.0,100,True,True,Facebook Messenger Plugin,False,True,False,False,False,False,0,1,HIGH: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.; MEDIUM: Many images are missing alt text.,,Automatic
LFMT Fight Club (Muay Thai),Muay Thai boxing gym,"69 Lor 14 Geylang, LFMT Fight Club (Muay Thai), Singapore 398957",+65 9276 2829,http://lfmtmuaythai.com/,,https://www.google.com/maps/place/LFMT+Fight+Club+%28Muay+Thai%29/data=!4m7!3m6!1s0x31da112793571f8f:0x54fdcbde08bf6935!8m2!3d1.310296!4d103.87952!16s%2Fg%2F11qh2qq4x0!19sChIJjx9XkycR2jERNWm_CN7L_VQ,4.9,166,,OK,,44.0,65,15.0,100,True,False,,False,False,False,False,True,True,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,,Automatic
Sweat Science Studio - Boxing Fitness,Boxing Coaching Center,"42C N Canal Rd, Sweat Science Studio - Boxing Fitness, Singapore 059298",+65 8043 5540,https://www.sweatsciencestudio.com/,,https://www.google.com/maps/place/Sweat+Science+Studio+-+Boxing+Fitness/data=!4m7!3m6!1s0x31da1901d7a639b1:0x38aa71e65eb678ec!8m2!3d1.2871441!4d103.8468629!16s%2Fg%2F11t_trsxl6!19sChIJsTmm1wEZ2jER7Hi2XuZxqjg,4.9,164,,OK,,39.8,65,60.0,100,True,True,Facebook Messenger Plugin,True,False,False,False,True,True,0,2,HIGH: Missing recommended security headers.; HIGH: No lead-capture form detected.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,,Automatic
Spartans Boxing Club Pasir Ris,Boxing club,"3A Pasir Ris Drive 6, #02-32 Spartans Boxing Club Pasir Ris, Singapore 519422",+65 8026 5707,https://www.spartansboxing.com/pasir-ris,,https://www.google.com/maps/place/Spartans+Boxing+Club+Pasir+Ris/data=!4m7!3m6!1s0x31da3d6c6d0c1f2f:0xf23a87b02a52bbe7!8m2!3d1.3711108!4d103.955883!16s%2Fg%2F11xd3mrbdb!19sChIJLx8MbWw92jER57tSKrCHOvI,5.0,160,,OK,,45.0,65,57.5,100,True,True,Facebook Messenger Plugin,True,True,False,False,False,True,0,1,HIGH: Missing recommended security headers.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.; MEDIUM: No visible trust signals (testimonials/reviews) detected.,,Automatic
The Six Boxing,Gym,"144 Neil Rd, The Six Boxing, Singapore 088873",+65 8321 2302,http://thesix.sg/,,https://www.google.com/maps/place/The+Six+Boxing/data=!4m7!3m6!1s0x31da19e31a64078b:0x69605334c545f493!8m2!3d1.278253!4d103.8406777!16s%2Fg%2F11s97xl68p!19sChIJiwdkGuMZ2jERk_RFxTRTYGk,5.0,159,,OK,,46.0,65,30.0,100,True,False,,True,False,True,False,False,True,0,2,HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Missing recommended security headers.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.,,Automatic
Inspire Fitness Asia,Muay Thai boxing gym,"462B Joo Chiat Rd, Inspire Fitness Asia, Singapore 427674",+65 8767 7782,https://inspirefitness.asia/,,https://www.google.com/maps/place/Inspire+Fitness+Asia/data=!4m7!3m6!1s0x31da19a00086b9b9:0xab8e65fd5eb1c2c0!8m2!3d1.3062037!4d103.9046183!16s%2Fg%2F11h5l_dw5k!19sChIJubmGAKAZ2jERwMKxXv1ljqs,5.0,148,,OK,,28.9,65,27.5,100,True,False,,True,False,False,False,True,False,0,2,HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Missing recommended security headers.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,,Automatic
Lionheart MMA Singapore,Muay Thai boxing gym,"75 S Bridge Rd, Lionheart MMA Singapore, Singapore 058705",+65 9328 6002,https://www.lionheartmmasingapore.com/,,https://www.google.com/maps/place/Lionheart+MMA+Singapore/data=!4m7!3m6!1s0x31da1939e7689f01:0x2ac00cf6c0f08f0d!8m2!3d1.2867285!4d103.8480844!16s%2Fg%2F11t1s4jsn9!19sChIJAZ9o5zkZ2jERDY_wwPYMwCo,4.9,146,,OK,,26.9,65,30.0,100,True,False,,True,False,True,False,False,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No appointment/booking system detected.,,Automatic
United Muay Thai,Muay Thai boxing gym,"213 Upper Thomson Rd, #04-01 United Muay Thai, Singapore 574348",+65 9270 6848,http://www.facebook.com/unitedmuaythai,,https://www.google.com/maps/place/United+Muay+Thai/data=!4m7!3m6!1s0x31da173a5969bf85:0x71fa065c25b43418!8m2!3d1.3521121!4d103.8351359!16s%2Fg%2F11bwq6lqvj!19sChIJhb9pWToX2jERGDS0JVwG-nE,4.5,138,,OK,,23.8,65,0.0,100,True,False,,False,False,False,False,False,False,2,3,CRITICAL: No mobile viewport meta tag.; CRITICAL: Page is set to noindex.; HIGH: SSL certificate is expiring soon.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.,,Automatic
Neue Fit (Raffles Place),Martial arts school,"20 Malacca St, #05-00 Neue Fit (Raffles Place), Malacca Centre, Singapore 048979",+65 8866 8748,https://neue.fit/,,https://www.google.com/maps/place/Neue+Fit+%28Raffles+Place%29/data=!4m7!3m6!1s0x31da1849669a11e3:0x717cf671de29be09!8m2!3d1.2839879!4d103.8506733!16s%2Fg%2F11hckfjj8h!19sChIJ4xGaZkkY2jERCb4p3nH2fHE,4.4,137,,OK,,30.3,65,42.5,100,True,True,Facebook Messenger Plugin,True,False,False,False,False,False,0,1,HIGH: No lead-capture form detected.; MEDIUM: Missing recommended security headers.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.; MEDIUM: Page is missing a meta description.,,Automatic
Homeground MMA - #1 MMA Gym In Singapore,Martial arts school,"33D Hongkong St, Level 5 Homeground MMA - #1 MMA Gym In Singapore, Singapore 059672",+65 8765 0688,https://www.homegroundmma.sg/,,https://www.google.com/maps/place/Homeground+MMA+-+%231+MMA+Gym+In+Singapore/data=!4m7!3m6!1s0x31da191f6a4689bb:0x1ea6019f2ef7bb03!8m2!3d1.2874682!4d103.847175!16s%2Fg%2F11mpfs5t9k!19sChIJu4lGah8Z2jERA7v3Lp8Bph4,5.0,130,,OK,,35.6,65,2.5,100,True,False,,False,False,False,False,False,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No WhatsApp click-to-chat link detected.,,Automatic
Impact MMA,Martial arts school,"424 Race Course Rd, Impact MMA, Singapore 218670",+65 8504 4363,https://www.impactmmasg.com/,,https://www.google.com/maps/place/Impact+MMA/data=!4m7!3m6!1s0x31da1912184018b7:0x72f98ba6c71af56e!8m2!3d1.3156!4d103.8578058!16s%2Fg%2F1tnkzxw6!19sChIJtxhAGBIZ2jERbvUax6aL-XI,4.7,130,,OK,,28.6,65,15.0,100,True,False,,True,False,False,False,False,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No appointment/booking system detected.,,Automatic
Kai Muay Thai SG,Muay Thai boxing gym,"70A Serangoon Garden Wy, Kai Muay Thai SG, Singapore 555966",+65 8966 1200,http://www.kaimuaythaisg.com/,,https://www.google.com/maps/place/Kai+Muay+Thai+SG/data=!4m7!3m6!1s0x31da194f3201b237:0x19fe253438fdd791!8m2!3d1.3639961!4d103.8654514!16s%2Fg%2F11fqt72m0g!19sChIJN7IBMk8Z2jERkdf9ODQl_hk,5.0,127,,OK,,34.6,65,50.0,100,False,True,Facebook Messenger Plugin,True,False,False,False,True,False,1,1,"CRITICAL: SSL certificate is missing, invalid, or expired.; HIGH: No lead-capture form detected.; MEDIUM: Missing recommended security headers.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.",,Automatic
Muay Champ Fitness,Fitness center,"6 Changi Business Park Ave 1, #02-21 Muay Champ Fitness, ESR BIZPARK@CHANGI, North Tower, Singapore 486017",+65 8168 6271,https://www.muaychampfitness.com/,,https://www.google.com/maps/place/Muay+Champ+Fitness/data=!4m7!3m6!1s0x31da3dc7334c5c01:0x9045a025ae8eed1!8m2!3d1.3350589!4d103.9638392!16s%2Fg%2F11twq54t39!19sChIJAVxMM8c92jER0e7oWgJaBAk,4.8,124,,OK,,38.1,65,17.5,100,True,False,,False,False,True,False,False,True,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,,Automatic
Rebel Muay Thai Boxing Gym,Muay Thai boxing gym,"40A Lor Mambong, Rebel Muay Thai Boxing Gym, Singapore 277695",+65 9863 0241,https://rebelgym.sg/,,https://www.google.com/maps/place/Rebel+Muay+Thai+Boxing+Gym/data=!4m7!3m6!1s0x31da1bcc202c973d:0x963c63b1312de560!8m2!3d1.3118689!4d103.7943968!16s%2Fg%2F11rhvfj_52!19sChIJPZcsIMwb2jERYOUtMbFjPJY,4.9,122,,OK,,46.1,65,37.5,100,True,False,,False,True,True,False,True,True,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; LOW: Lead-capture form is long.,,Automatic
