Business Name,Category,Address,Phone,Website,Email,Google Maps URL,Rating,Review Count,Social Media URLs,audit_status,error,health_score,max_health_score,opportunity_score,max_opportunity_score,ssl_valid,has_chatbot,chatbot_providers,has_whatsapp,has_lead_form,has_phone_cta,has_appointment_booking,has_trust_signals,has_local_schema,critical_issue_count,high_issue_count,top_issues,fetch_warning
Unity Gym Online Pty Ltd,Physical fitness program,"Unit 12/16 MacKenzie St, Lavender Bay NSW 2060, Australia",+61 488 088 110,http://www.unitygym.com/,,https://www.google.com/maps/place/Unity+Gym+Online+Pty+Ltd/data=!4m7!3m6!1s0x6b12aeed8d678473:0x6ed2f6a282e51487!8m2!3d-33.8421306!4d151.2068657!16s%2Fg%2F12q4wxqmr!19sChIJc4Rnje2uEmsRhxTlgqL20m4,5.0,373,,OK,,31.4,65,10.0,100,True,False,,False,False,False,False,True,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
City Gym Sydney,Fitness center,"107 Crown St, Darlinghurst NSW 2010, Australia",+61 2 9360 6247,http://www.citygym.com.au/,,https://www.google.com/maps/place/City+Gym+Sydney/data=!4m7!3m6!1s0x6b12ae1407829df3:0xceb07f46f112d1c3!8m2!3d-33.875136!4d151.21602!16s%2Fg%2F1td_5b6b!19sChIJ852CBxSuEmsRw9ES8UZ_sM4,4.6,338,,OK,,43.1,65,30.0,100,True,False,,False,True,True,False,False,True,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Page is missing a meta description.,
Flow Athletic,Fitness center,"Level 1/134 Oxford St, Paddington NSW 2021, Australia",+61 410 107 570,https://flowathletic.com.au/,,https://www.google.com/maps/place/Flow+Athletic/data=!4m7!3m6!1s0x6b12ae053972a7cd:0x7d1d6c981658fa5a!8m2!3d-33.8837756!4d151.2227673!16s%2Fg%2F11h3kd8f9n!19sChIJzadyOQWuEmsRWvpYFphsHX0,4.9,295,,OK,,43.9,65,55.0,100,True,True,Facebook Messenger Plugin,False,True,False,False,True,True,0,1,HIGH: Missing recommended security headers.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,
SOMA Health & Wellness Club,Gym,"Aurora Place, Ground Floor/88 Phillip St, Sydney NSW 2000, Australia",+61 2 9169 9849,https://www.somacollection.com.au/,,https://www.google.com/maps/place/SOMA+Health+%26+Wellness+Club/data=!4m7!3m6!1s0x6b12af0a21fdd0c5:0x93752b576b91e2bc!8m2!3d-33.8650775!4d151.2121816!16s%2Fg%2F11j0vqt7mn!19sChIJxdD9IQqvEmsRvOKRa1crdZM,4.9,285,,OK,,45.0,65,15.0,100,True,False,,False,False,True,False,False,True,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
One Playground North Sydney,Gym,"155B Miller St, North Sydney NSW 2060, Australia",+61 1800 496 348,https://oneplayground.com.au/locations/north-sydney/,,https://www.google.com/maps/place/One+Playground+North+Sydney/data=!4m7!3m6!1s0x6b12afe69ece06e5:0x397fc3c8c069ada6!8m2!3d-33.8376841!4d151.2077301!16s%2Fg%2F11m5d6r2fs!19sChIJ5QbOnuavEmsRpq1pwMjDfzk,4.5,272,,OK,,35.0,65,27.5,100,True,False,,False,True,True,False,False,False,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No LocalBusiness (or similar) structured data found.,
Premier Health & Fitness,Gym,"170 Castlereagh St, Sydney NSW 2000, Australia",+61 2 8319 0444,https://premierhealthandfitness.com.au/sydneycbd/,,https://www.google.com/maps/place/Premier+Health+%26+Fitness/data=!4m7!3m6!1s0x6b12ae3e17d22897:0x4375bd352d411fde!8m2!3d-33.8726726!4d151.2093552!16s%2Fg%2F11c6vhc1w6!19sChIJlyjSFz6uEmsR3h9BLTW9dUM,4.6,256,,OK,,40.0,65,52.5,100,True,True,Facebook Messenger Plugin,False,True,True,False,False,False,0,0,MEDIUM: Missing recommended security headers.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No LocalBusiness (or similar) structured data found.,
Fernwood Fitness,Personal trainer,"446-454 King Georges Rd, Beverly Hills NSW 2209, Australia",+61 2 9150 0630,https://www.fernwoodfitness.com.au/clubs/beverly-hills,,https://www.google.com/maps/place/Fernwood+Fitness/data=!4m7!3m6!1s0x6b12b9657bba5d1b:0x6bfdbfbef663c96e!8m2!3d-33.9477713!4d151.0796352!16s%2Fg%2F1tfq4tdg!19sChIJG126e2W5EmsRbslj9r6__Ws,4.7,233,,OK,,35.0,65,52.5,100,True,True,Facebook Messenger Plugin,False,True,True,False,False,False,0,1,HIGH: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.; MEDIUM: No LocalBusiness (or similar) structured data found.,
Anytime Fitness Caringbah,Gym,"28-30 Banksia Rd, Caringbah NSW 2229, Australia",+61 434 499 557,https://www.anytimefitness.com.au/gyms/au-1073/caringbah-nsw-2229/,,https://www.google.com/maps/place/Anytime+Fitness+Caringbah/data=!4m7!3m6!1s0x6b12c7eddf68bd2d:0x2aa7a8678028dd8c!8m2!3d-34.0421369!4d151.1244264!16s%2Fg%2F1tgn4x5_!19sChIJLb1o3-3HEmsRjN0ogGeopyo,4.8,221,,OK,,11.1,65,0.0,100,True,False,,False,False,False,False,False,False,2,4,CRITICAL: No mobile viewport meta tag.; CRITICAL: Page is set to noindex.; HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.,
The Bunker Gym,Gym,"69-81 Foveaux St, Surry Hills NSW 2010, Australia",+61 2 8098 0508,https://oneplayground.com.au/locations/the-bunker/,,https://www.google.com/maps/place/The+Bunker+Gym/data=!4m7!3m6!1s0x6b12af88077aa24f:0xcba2c23b3756f177!8m2!3d-33.8846898!4d151.2108076!16s%2Fg%2F11g07z282_!19sChIJT6J6B4ivEmsRd_FWNzvCoss,4.6,216,,OK,,35.0,65,27.5,100,True,False,,False,True,True,False,False,False,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No LocalBusiness (or similar) structured data found.,
HIIT Nation,Gym,"16/173 Canterbury Rd, Bankstown NSW 2200, Australia",+61 477 383 333,https://www.hiitnationau.com.au/,,https://www.google.com/maps/place/HIIT+Nation/data=!4m7!3m6!1s0x6b12bf644df6db97:0x1433f2b366d1a41e!8m2!3d-33.9336162!4d151.0288358!16s%2Fg%2F11pbdjcb5d!19sChIJl9v2TWS_EmsRHqTRZrPyMxQ,5.0,210,,OK,,47.8,65,30.0,100,True,False,,False,True,False,False,True,True,0,1,HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,
"The Jungle Body Sydney - Circular Quay, CBD, & Darlinghurst,",Physical fitness program,"180 George St, Sydney NSW 2000, Australia",+61 420 427 766,http://www.thejunglebodysydney.com/,,"https://www.google.com/maps/place/The+Jungle+Body+Sydney+-+Circular+Quay,+CBD,+%26+Darlinghurst,/data=!4m7!3m6!1s0x6b12afe7f5b11337:0x4cf65a668a4802e5!8m2!3d-33.8622247!4d151.2084172!16s%2Fg%2F11pr6vj4yn!19sChIJNxOx9eevEmsR5QJIimZa9kw",4.9,207,,OK,,37.6,65,25.0,100,True,False,,False,True,False,False,True,False,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,
BFT Town Hall,Gym,"LG/117 York St, Sydney NSW 2000, Australia",+61 415 130 226,https://l.bft.studio/Town%20Hall/gmb,,https://www.google.com/maps/place/BFT+Town+Hall/data=!4m7!3m6!1s0x6b12afb05b1d94ab:0x96b3ab912331041!8m2!3d-33.8713606!4d151.206091!16s%2Fg%2F11h07m_vn1!19sChIJq5QdW7CvEmsRQRAzErk6awk,4.9,193,,OK,,25.0,65,25.0,100,True,True,Facebook Messenger Plugin,False,False,False,False,False,False,1,2,CRITICAL: Page is set to noindex.; HIGH: Missing recommended security headers.; HIGH: No lead-capture form detected.; MEDIUM: No XML sitemap found.; MEDIUM: No WhatsApp click-to-chat link detected.,"page appears to be an interstitial/verification page or renders its content via JavaScript, and the headless-browser re-fetch did not return meaningfully more content — checks below likely show false negatives (missing title/forms/links etc. that a browser would actually see)"
Combine Air Rozelle,Gym,"1/61-63 Victoria Rd, Rozelle NSW 2039, Australia",+61 408 293 112,https://www.rozelle.combineair.com.au/,,https://www.google.com/maps/place/Combine+Air+Rozelle/data=!4m7!3m6!1s0x6b12afd6a5916055:0xd304776acb81242a!8m2!3d-33.8660378!4d151.1743916!16s%2Fg%2F11kw9zyx33!19sChIJVWCRpdavEmsRKiSBy2p3BNM,5.0,190,,OK,,47.3,65,25.0,100,True,False,,True,False,False,False,False,True,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No appointment/booking system detected.,
Crew Pilates Co.,Pilates studio,"Shop 1/5 Central Ave, Eveleigh NSW 2015, Australia",+61 475 808 382,https://www.crewpilatesco.com.au/,,https://www.google.com/maps/place/Crew+Pilates+Co./data=!4m7!3m6!1s0x6b12b1ce63ba1def:0xf9dd99752ad260a5!8m2!3d-33.8969852!4d151.1950883!16s%2Fg%2F1pwftk5bx!19sChIJ7x26Y86xEmsRpWDSKnWZ3fk,4.9,189,,OK,,39.8,65,32.5,100,True,False,,False,True,True,False,False,True,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Page is missing a meta description.,
The Outdoor Squad Camperdown,Boot camp,"Mallett St, Camperdown NSW 2050, Australia",+61 402 439 361,https://www.outdoorsquad.com.au/,,https://www.google.com/maps/place/The+Outdoor+Squad+Camperdown/data=!4m7!3m6!1s0x6b12b02f9c1b23fb:0x8b4406d5e17ddfb2!8m2!3d-33.8886018!4d151.176114!16s%2Fg%2F12hznrn7j!19sChIJ-yMbnC-wEmsRst994dUGRIs,5.0,160,,OK,,26.4,65,52.5,100,True,True,Facebook Messenger Plugin,False,False,True,False,True,False,0,2,HIGH: Missing recommended security headers.; HIGH: No lead-capture form detected.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Jetts St Leonards,Fitness center,"205 Pacific Hwy, St Leonards NSW 2065, Australia",+61 2 9438 4100,https://jetts.com.au/gym/jetts-st-leonards/,,https://www.google.com/maps/place/Jetts+St+Leonards/data=!4m7!3m6!1s0x6b12aedd92bb3cd9:0xe8b5788da0d02781!8m2!3d-33.822998!4d151.1937866!16s%2Fg%2F11b6vh4l30!19sChIJ2Ty7kt2uEmsRgSfQoI14teg,4.6,160,,OK,,42.7,65,17.5,100,True,False,,False,False,True,False,False,True,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Club Lime St Peters,Fitness center,"11/19 Unwins Bridge Rd, St Peters NSW 2044, Australia",+61 2 8071 4490,https://www.clublime.com.au/ourclubs/,,https://www.google.com/maps/place/Club+Lime+St+Peters/data=!4m7!3m6!1s0x6b12b05b894ef1dd:0x424e2559c405b423!8m2!3d-33.9132499!4d151.1703033!16s%2Fg%2F11_t28byt!19sChIJ3fFOiVuwEmsRI7QFxFklTkI,4.0,155,,OK,,34.8,65,50.0,100,True,True,Facebook Messenger Plugin,False,True,True,False,False,False,0,1,HIGH: Missing recommended security headers.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No XML sitemap found.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Barry's - Surry Hills,Gym,"66-72 Reservoir St, Surry Hills NSW 2010, Australia",+61 2 8067 0858,https://www.barrysbootcamp.com.au/studios/surry-hills/,,https://www.google.com/maps/place/Barry%27s+-+Surry+Hills/data=!4m7!3m6!1s0x6b12afb4eed3e179:0xdcaef9588e860176!8m2!3d-33.8811061!4d151.209889!16s%2Fg%2F11f6mfkvf7!19sChIJeeHT7rSvEmsRdgGGjlj5rtw,4.6,153,,OK,,25.8,65,2.5,100,True,False,,False,False,False,False,False,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
S30 Surry Hills,Fitness center,"Ste 1, Ground Floor/72 Mary St, Surry Hills NSW 2010, Australia",+61 421 970 430,https://s30studio.com.au/surry-hills/,,https://www.google.com/maps/place/S30+Surry+Hills/data=!4m7!3m6!1s0x6b12afd977acb90f:0x9949aa720379031e!8m2!3d-33.8828371!4d151.2098376!16s%2Fg%2F11tryztv4t!19sChIJD7msd9mvEmsRHgN5A3KqSZk,5.0,144,,OK,,30.2,65,15.0,100,True,False,,False,True,False,False,False,False,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No XML sitemap found.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Anytime Fitness Avalon,Gym,"681 Barrenjoey Rd, Avalon Beach NSW 2107, Australia",+61 437 929 233,https://www.anytimefitness.com/en-au/locations/avalon-new-south-wales-au-1203,,https://www.google.com/maps/place/Anytime+Fitness+Avalon/data=!4m7!3m6!1s0x6b72acd4e97e82f5:0xd34674ce306d3439!8m2!3d-33.6372313!4d151.3298154!16s%2Fg%2F1hc3jpfq9!19sChIJ9YJ-6dSscmsROTRtMM50RtM,4.6,136,,OK,,13.6,65,0.0,100,True,False,,False,False,False,False,False,False,2,4,CRITICAL: No mobile viewport meta tag.; CRITICAL: Page is set to noindex.; HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.,
Soultrain,Fitness center,"51 Cathedral St, Woolloomooloo NSW 2000, Australia",+61 2 5300 2091,https://www.soultrain.net.au/,,https://www.google.com/maps/place/Soultrain/data=!4m7!3m6!1s0x6b12af3aa930a05d:0x5aecf7e2363ca60c!8m2!3d-33.872308!4d151.215586!16s%2Fg%2F11h4y6v27f!19sChIJXaAwqTqvEmsRDKY8NuL37Fo,5.0,131,,OK,,29.4,65,20.0,100,True,False,,False,False,True,False,True,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No XML sitemap found.; MEDIUM: No WhatsApp click-to-chat link detected.,
Scenic Cycle,Fitness center,"Aurora Place, 88 Phillip St, Sydney NSW 2000, Australia",+61 2 9252 4102,http://www.sceniccycle.com/,,https://www.google.com/maps/place/Scenic+Cycle/data=!4m7!3m6!1s0x6b12ae6a3c3eddbd:0x1141a3eca4d020a0!8m2!3d-33.8648059!4d151.2118971!16s%2Fg%2F11b77ds35n!19sChIJvd0-PGquEmsRoCDQpOyjQRE,5.0,128,,OK,,24.2,65,0.0,100,False,False,,False,False,False,False,False,False,2,3,"CRITICAL: SSL certificate is missing, invalid, or expired.; CRITICAL: No mobile viewport meta tag.; HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.","page appears to be an interstitial/verification page or renders its content via JavaScript, and the headless-browser re-fetch did not return meaningfully more content — checks below likely show false negatives (missing title/forms/links etc. that a browser would actually see)"
CycleBar,Indoor cycling,"Level 1/51 Willoughby Rd, Crows Nest NSW 2065, Australia",+61 488 040 788,https://www.cyclebar.com.au/location/cyclebar-aus-crows-nest,,https://www.google.com/maps/place/CycleBar/data=!4m7!3m6!1s0x6b12af6573211b59:0x74d5269e38c0747d!8m2!3d-33.8260274!4d151.200979!16s%2Fg%2F11s0q20c7d!19sChIJWRshc2WvEmsRfXTAOJ4m1XQ,4.9,127,,OK,,41.1,65,10.0,100,True,False,,False,False,True,False,False,False,0,2,HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Bootcamp2u,Gym,"Unit 27/332-336 Hoxton Park Rd, Prestons NSW 2170, Australia",+61 452 020 417,https://bootcamp2u.net/contact-us/,,https://www.google.com/maps/place/Bootcamp2u/data=!4m7!3m6!1s0x6b12945ffb495555:0x367040e8f3ed1208!8m2!3d-33.9280744!4d150.88463!16s%2Fg%2F11pcg6q1zw!19sChIJVVVJ-1-UEmsRCBLt8-hAcDY,5.0,122,,FAILED,"HTTPSConnectionPool(host='bootcamp2u.net', port=443): Max retries exceeded with url: /contact-us/ (Caused by ResponseError('too many 500 error responses'))",,,,,,,,,,,,,,,,,
RAWWomen Bootcamp,Boot camp,"14 Vincent Ave, Liverpool NSW 2170, Australia",+61 424 641 125,https://linktr.ee/rawwomen,,https://www.google.com/maps/place/RAWWomen+Bootcamp/data=!4m7!3m6!1s0x86b00eca7e73949b:0x1aba803ef627610e!8m2!3d-33.912546!4d150.9150774!16s%2Fg%2F11vdqf1g8y!19sChIJm5RzfsoOsIYRDmEn9j6Auho,5.0,120,,OK,,41.1,65,25.0,100,True,False,,True,False,False,False,True,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,"page HTML contains a known anti-bot/CAPTCHA marker: ""turnstile"". A headless-browser retry did not get past it either — this site likely requires solving a human-facing CAPTCHA/verification step, which this tool does not attempt to bypass. Verify this lead manually in a real browser."
One Hot Yoga & Pilates,Yoga studio,"34 Kellett St, Potts Point NSW 2011, Australia",+61 483 926 191,https://www.onehotyoga.com.au/sydney/start-here/,,https://www.google.com/maps/place/One+Hot+Yoga+%26+Pilates/data=!4m7!3m6!1s0x6b12ae0d118f1325:0xc579cfd6107c0d5c!8m2!3d-33.8742206!4d151.2238076!16s%2Fg%2F11ckdpr35h!19sChIJJROPEQ2uEmsRXA18ENbPecU,4.5,118,,OK,,38.1,65,55.0,100,True,True,Facebook Messenger Plugin,False,True,True,False,False,True,1,1,CRITICAL: Page is set to noindex.; HIGH: HTTP does not redirect to HTTPS.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.,
